# Time Tags
# 2025-05-20 17:51:34
# Unit Time Tag: 80.955ps
# Unit Channel: 1
# Time Tag ; Channel
      38099091097379 ;                    1
      38099091459391 ;                    2
      38099091465356 ;                    2
      38099092601365 ;                    2
      38099093605531 ;                    2
      38099094304961 ;                    1
      38099095544620 ;                    2
      38099095980953 ;                    2
      38099098000914 ;                    2
      38099098432452 ;                    2
      38099098482143 ;                    2
      38099098758473 ;                    2
      38099101013942 ;                    1
      38099101773621 ;                    1
      38099101773622 ;                    2
      38099102934268 ;                    2
      38099104776578 ;                    2
      38099105539039 ;                    2
      38099105672566 ;                    2
      38099105772239 ;                    2
      38099105948548 ;                    1
      38099108608814 ;                    2
      38099108662408 ;                    2
      38099112742799 ;                    2
      38099113976170 ;                    2
      38099113976188 ;                    1
      38099114532042 ;                    2
      38099114856825 ;                    2
      38099115566561 ;                    1
      38099118418165 ;                    2
      38099121651908 ;                    2
      38099121794994 ;                    2
      38099122268005 ;                    1
      38099123043890 ;                    2
      38099123668569 ;                    2
      38099124244962 ;                    2
      38099125554410 ;                    1
      38099125608532 ;                    1
      38099127485050 ;                    2
      38099129332703 ;                    2
      38099129387886 ;                    2
      38099130762959 ;                    2
      38099132716489 ;                    2
      38099133673838 ;                    2
      38099133982274 ;                    2
      38099134391249 ;                    1
      38099135010635 ;                    2
      38099136264215 ;                    2
      38099138412986 ;                    2
      38099138501289 ;                    2
      38099138609004 ;                    2
      38099138659975 ;                    2
      38099138748932 ;                    1
      38099139210501 ;                    2
      38099139305893 ;                    1
      38099139811007 ;                    2
      38099139913786 ;                    2
      38099139913804 ;                    1
      38099141518986 ;                    1
      38099143392557 ;                    2
      38099143392567 ;                    1
      38099143393001 ;                    2
      38099145591731 ;                    1
      38099146227823 ;                    2
      38099147655311 ;                    2
      38099147780830 ;                    2
      38099147907027 ;                    2
      38099148663576 ;                    2
      38099148721398 ;                    2
      38099151486828 ;                    2
      38099154281699 ;                    2
      38099154473637 ;                    1
      38099155145888 ;                    2
      38099155989642 ;                    1
      38099156075070 ;                    2
      38099158551770 ;                    2
      38099159282733 ;                    2
      38099159905670 ;                    1
      38099160717066 ;                    1
      38099162189277 ;                    1
      38099162410569 ;                    2
      38099163740618 ;                    1
      38099164029805 ;                    2
      38099164585923 ;                    2
      38099166610322 ;                    1
      38099166686640 ;                    2
      38099167576817 ;                    2
      38099168374908 ;                    1
      38099168839575 ;                    2
      38099168862547 ;                    2
      38099171058540 ;                    1
      38099172765553 ;                    1
      38099173299923 ;                    2
      38099173299951 ;                    1
      38099174467609 ;                    1
      38099175179590 ;                    2
      38099175180695 ;                    2
      38099176207407 ;                    1
      38099176698032 ;                    2
      38099179460658 ;                    2
      38099179733581 ;                    1
      38099180033939 ;                    1
      38099180986056 ;                    1
      38099181421632 ;                    2
      38099182468200 ;                    1
      38099182816624 ;                    2
      38099183053313 ;                    1
      38099184981073 ;                    2
      38099186919938 ;                    1
      38099187959968 ;                    1
      38099189122686 ;                    2
      38099189408941 ;                    1
      38099190204361 ;                    2
      38099191529120 ;                    2
      38099191597154 ;                    2
      38099191603224 ;                    2
      38099192159687 ;                    1
      38099192404017 ;                    2
      38099195286587 ;                    2
      38099195409803 ;                    1
      38099196499919 ;                    1
      38099196548656 ;                    2
      38099198747698 ;                    2
      38099201216585 ;                    2
      38099201752804 ;                    2
      38099201808683 ;                    2
      38099202020291 ;                    2
      38099202304349 ;                    2
      38099203172285 ;                    2
      38099204903198 ;                    1
      38099205165337 ;                    2
      38099205697828 ;                    2
      38099206667367 ;                    2
      38099207373626 ;                    2
      38099208047005 ;                    2
      38099208424389 ;                    1
      38099208433075 ;                    2
      38099208506759 ;                    2
      38099209008258 ;                    1
      38099209256683 ;                    2
      38099209729216 ;                    2
      38099210150520 ;                    2
      38099210442489 ;                    1
      38099211019424 ;                    2
      38099211044180 ;                    2
      38099211173565 ;                    2
      38099211444666 ;                    1
      38099211507503 ;                    2
      38099212714930 ;                    2
      38099213239496 ;                    2
      38099213900399 ;                    2
      38099214082741 ;                    1
      38099214796101 ;                    2
      38099217286081 ;                    2
      38099218472426 ;                    2
      38099219204198 ;                    2
      38099219956996 ;                    2
      38099220015237 ;                    2
      38099220873895 ;                    1
      38099222773230 ;                    2
      38099223028817 ;                    2
      38099224288945 ;                    2
      38099224439320 ;                    1
      38099226395405 ;                    2
      38099226816187 ;                    2
      38099227449414 ;                    2
      38099227607983 ;                    2
      38099227944988 ;                    2
      38099229650156 ;                    2
      38099230080666 ;                    2
      38099230211611 ;                    2
      38099230988875 ;                    1
      38099231275560 ;                    2
      38099232381437 ;                    1
      38099234503366 ;                    2
      38099234503377 ;                    1
      38099234715248 ;                    2
      38099234871996 ;                    2
      38099234943698 ;                    2
      38099235878448 ;                    2
      38099236633419 ;                    2
      38099236948479 ;                    2
      38099239997490 ;                    2
      38099240572660 ;                    2
      38099241442634 ;                    2
      38099241852554 ;                    2
      38099241856222 ;                    2
      38099241930013 ;                    1
      38099243336700 ;                    1
      38099243341617 ;                    1
      38099245667807 ;                    1
      38099248616481 ;                    2
      38099248992141 ;                    1
      38099249352731 ;                    2
      38099249721058 ;                    2
      38099249811926 ;                    1
      38099251415869 ;                    2
      38099252426630 ;                    2
      38099252863544 ;                    1
      38099252921789 ;                    2
      38099253373703 ;                    2
      38099255365752 ;                    1
      38099258835941 ;                    2
      38099260166318 ;                    2
      38099260419196 ;                    2
      38099261563915 ;                    2
      38099261567836 ;                    2
      38099261851805 ;                    2
      38099262583319 ;                    1
      38099263126440 ;                    1
      38099263780803 ;                    1
      38099264331880 ;                    2
      38099266419909 ;                    2
      38099267930049 ;                    2
      38099268089257 ;                    2
      38099268287336 ;                    2
      38099271767193 ;                    1
      38099272100208 ;                    2
      38099273984737 ;                    2
      38099274352196 ;                    1
      38099274612762 ;                    2
      38099274612772 ;                    1
      38099274624328 ;                    2
      38099275403744 ;                    1
      38099275545653 ;                    2
      38099276121652 ;                    2
      38099276510539 ;                    2
      38099276514717 ;                    2
      38099277753666 ;                    2
      38099278277468 ;                    2
      38099279084972 ;                    2
      38099279256880 ;                    2
      38099279599971 ;                    2
      38099281452778 ;                    2
      38099281463858 ;                    1
      38099281617213 ;                    1
      38099282563047 ;                    2
      38099283482174 ;                    1
      38099284490591 ;                    2
      38099284547251 ;                    2
      38099285279447 ;                    2
      38099285594918 ;                    2
      38099287660364 ;                    2
      38099289799965 ;                    2
      38099290200437 ;                    1
      38099290700467 ;                    2
      38099290822758 ;                    2
      38099291031765 ;                    1
      38099292880198 ;                    1
      38099296394275 ;                    2
      38099296681381 ;                    2
      38099297387330 ;                    1
      38099297400314 ;                    2
      38099298834407 ;                    1
      38099301098869 ;                    2
      38099301630357 ;                    1
      38099302669394 ;                    2
      38099303107487 ;                    2
      38099303550908 ;                    2
      38099303881825 ;                    2
      38099303881831 ;                    1
      38099304324115 ;                    2
      38099304601346 ;                    1
      38099306401651 ;                    1
      38099306684966 ;                    1
      38099309548362 ;                    1
      38099311354249 ;                    2
      38099312109038 ;                    2
      38099312121358 ;                    2
      38123741405651 ;                    2
      38123741918422 ;                    2
      38123742217409 ;                    1
      38123742825229 ;                    1
      38123743570249 ;                    1
      38123747462099 ;                    1
      38123749853187 ;                    1
      38123751167296 ;                    2
      38123751183128 ;                    2
      38123751257500 ;                    2
      38123751257512 ;                    1
      38123752790366 ;                    2
      38123754066668 ;                    1
      38123755194213 ;                    2
      38123756473860 ;                    1
      38123758596482 ;                    2
      38123760805486 ;                    2
      38123761747595 ;                    1
      38123762293286 ;                    2
      38123762660084 ;                    2
      38123764473045 ;                    2
      38123764801095 ;                    1
      38123764990851 ;                    1
      38123765029646 ;                    1
      38123767285511 ;                    1
      38123767985808 ;                    2
      38123768402296 ;                    1
      38123769603473 ;                    1
      38123769742368 ;                    2
      38123770376492 ;                    2
      38123770645145 ;                    2
      38123770934821 ;                    1
      38123771021279 ;                    1
      38123771476325 ;                    1
      38123771997183 ;                    1
      38123772143075 ;                    2
      38123772217768 ;                    2
      38123772873784 ;                    2
      38123772948980 ;                    1
      38123773689112 ;                    2
      38123775578258 ;                    1
      38123776696788 ;                    2
      38123778509906 ;                    1
      38123778567351 ;                    1
      38123778951236 ;                    1
      38123779257269 ;                    1
      38123779563896 ;                    1
      38123780135815 ;                    1
      38123782036258 ;                    2
      38123782433010 ;                    2
      38123782433019 ;                    1
      38123782626930 ;                    2
      38123782741110 ;                    1
      38123784261389 ;                    1
      38123784444626 ;                    1
      38123784693908 ;                    2
      38123785251103 ;                    1
      38123785599753 ;                    1
      38123785756609 ;                    2
      38123786507243 ;                    1
      38123787561439 ;                    1
      38123787740653 ;                    2
      38123787812330 ;                    2
      38123787960649 ;                    1
      38123788757383 ;                    2
      38123788901819 ;                    1
      38123789562159 ;                    1
      38123790533073 ;                    2
      38123790791022 ;                    2
      38123791496270 ;                    1
      38123791931993 ;                    2
      38123791933427 ;                    2
      38123792105481 ;                    1
      38123793424091 ;                    2
      38123793489760 ;                    1
      38123793888984 ;                    1
      38123794038440 ;                    1
      38123794615316 ;                    2
      38123794948011 ;                    2
      38123795141073 ;                    2
      38123796065780 ;                    1
      38123796268556 ;                    1
      38123796489875 ;                    1
      38123796520449 ;                    2
      38123796741765 ;                    1
      38123797162864 ;                    2
