# Time Tags
# 2025-05-20 18:00:14
# Unit Time Tag: 80.955ps
# Unit Channel: 1
# Time Tag ; Channel
      44530818318292 ;                    2
      44530820275429 ;                    2
      44530820656711 ;                    2
      44530821691349 ;                    2
      44530822103387 ;                    1
      44530822295470 ;                    1
      44530822814671 ;                    2
      44530824737000 ;                    2
      44530827194550 ;                    1
      44530827499899 ;                    2
      44530828424586 ;                    1
      44530828788619 ;                    2
      44530828813765 ;                    2
      44530828931630 ;                    1
      44530829840992 ;                    1
      44530829905142 ;                    2
      44530833091856 ;                    2
      44530833310215 ;                    2
      44530833668632 ;                    2
      44530833669604 ;                    2
      44530834710752 ;                    2
      44530834730414 ;                    2
      44530835663527 ;                    1
      44530835672508 ;                    1
      44530836026378 ;                    2
      44530836575399 ;                    2
      44530836814710 ;                    1
      44530839596825 ;                    2
      44530840252730 ;                    1
      44530840290604 ;                    1
      44530841860136 ;                    2
      44530843249921 ;                    1
      44530844050085 ;                    1
      44530847659178 ;                    1
      44530849092022 ;                    2
      44530849263669 ;                    1
      44530850032381 ;                    2
      44530852223010 ;                    2
      44530852391337 ;                    2
      44530855589159 ;                    2
      44530856009800 ;                    2
      44530858335410 ;                    1
      44530858676258 ;                    2
      44530860535491 ;                    1
      44530861898426 ;                    1
      44530862570645 ;                    1
      44530863196887 ;                    2
      44530864518699 ;                    1
      44530865877453 ;                    1
      44530866130329 ;                    2
      44530867814136 ;                    1
      44530867836108 ;                    1
      44530868763695 ;                    2
      44530869081358 ;                    1
      44530869260722 ;                    2
      44530869639943 ;                    2
      44530869745874 ;                    2
      44530870934298 ;                    2
      44530871030617 ;                    2
      44530871092151 ;                    2
      44530871196978 ;                    2
      44530871314475 ;                    1
      44530877687059 ;                    2
      44530877826788 ;                    1
      44530877979155 ;                    1
      44530878494553 ;                    1
      44530878500944 ;                    2
      44530878769450 ;                    1
      44530879368215 ;                    2
      44530879423705 ;                    1
      44530880137664 ;                    2
      44530880703964 ;                    1
      44530881865151 ;                    1
      44530882613847 ;                    2
      44530883128476 ;                    1
      44530884283580 ;                    2
      44530888968848 ;                    1
      44530888969769 ;                    1
      44530889508926 ;                    2
      44530889820478 ;                    2
      44530890844005 ;                    1
      44530890851537 ;                    2
      44530891031208 ;                    2
      44530891865016 ;                    1
      44530892184089 ;                    1
      44530892647116 ;                    2
      44530895477351 ;                    1
      44530895497621 ;                    2
      44530896711604 ;                    1
      44530897646699 ;                    1
      44530898119253 ;                    1
      44530898818615 ;                    2
      44530900701508 ;                    1
      44530902725137 ;                    1
      44530902907706 ;                    2
      44530902991401 ;                    1
      44530903075373 ;                    2
      44530903572438 ;                    1
      44530903952948 ;                    1
      44530904267531 ;                    2
      44530904290946 ;                    1
      44530904424251 ;                    1
      44530904554163 ;                    1
      44530906505955 ;                    2
      44530908093189 ;                    1
      44530908449826 ;                    1
      44530909318642 ;                    1
      44530910238396 ;                    2
      44530910255051 ;                    1
      44530911385514 ;                    2
      44530912408913 ;                    2
      44530913036355 ;                    1
      44530914699439 ;                    2
      44530915178473 ;                    2
      44530916781241 ;                    2
      44530917018156 ;                    1
      44530917764556 ;                    2
      44530919052174 ;                    2
      44530919481615 ;                    1
      44530919488321 ;                    1
      44530920729708 ;                    2
      44530920730209 ;                    2
      44530921147968 ;                    1
      44530921513960 ;                    1
      44530924045993 ;                    2
      44530924820536 ;                    2
      44530924844697 ;                    1
      44530925130494 ;                    2
      44530925145182 ;                    2
      44530926131510 ;                    1
      44530927585434 ;                    2
      44530928106847 ;                    2
      44530928826397 ;                    2
      44530928845329 ;                    2
      44530929190337 ;                    1
      44530929364788 ;                    1
      44530930173407 ;                    2
      44530930231269 ;                    2
      44530932752728 ;                    1
      44530932937464 ;                    1
      44530934119641 ;                    1
      44530936242965 ;                    2
      44530937714058 ;                    2
      44530938977912 ;                    2
      44530939806801 ;                    1
      44530940130381 ;                    1
      44530940424512 ;                    2
      44530943277629 ;                    2
      44530944348470 ;                    1
      44530945136212 ;                    2
      44530945195274 ;                    2
      44530945856126 ;                    2
      44530946657075 ;                    2
      44530947154482 ;                    1
      44530947745787 ;                    1
      44530948182114 ;                    2
      44530948738838 ;                    2
      44530950650175 ;                    2
      44530950685443 ;                    2
      44530950853560 ;                    2
      44530951328948 ;                    2
      44530952194851 ;                    1
      44530955370004 ;                    1
      44530955725282 ;                    2
      44530955899756 ;                    1
      44530956060960 ;                    2
      44530957201591 ;                    2
      44530957391777 ;                    2
      44530958876407 ;                    1
      44530960276831 ;                    1
      44530960315939 ;                    2
      44530960681674 ;                    2
      44530960910133 ;                    1
      44530961329775 ;                    1
      44530961973339 ;                    1
      44530962052807 ;                    2
      44530962151976 ;                    2
      44530962951599 ;                    1
      44530963495625 ;                    1
      44530963653092 ;                    2
      44530965608151 ;                    1
      44530966900247 ;                    2
      44530967280642 ;                    1
      44530967860660 ;                    1
      44530968420506 ;                    1
      44530971578147 ;                    2
      44530972018915 ;                    2
      44530972202727 ;                    2
      44530972361137 ;                    2
      44530972583326 ;                    1
      44530972629806 ;                    2
      44530972963056 ;                    2
      44530973368695 ;                    1
      44530978006030 ;                    2
      44530979022910 ;                    1
      44530979577877 ;                    2
      44530979769153 ;                    2
      44530981057970 ;                    2
      44530981632843 ;                    2
      44530982817402 ;                    1
      44530983636960 ;                    2
      44530984885477 ;                    2
      44530985449563 ;                    1
      44530986202649 ;                    1
      44530986469435 ;                    2
      44530986826608 ;                    1
      44530987034216 ;                    2
      44530987992821 ;                    1
      44530988007559 ;                    1
      44530988142050 ;                    1
      44530988431678 ;                    1
      44530989295269 ;                    2
      44530989592628 ;                    2
      44530990099745 ;                    1
      44530990191416 ;                    2
      44530990284694 ;                    1
      44530990798953 ;                    2
      44530990940800 ;                    2
      44530990940808 ;                    1
      44530991264287 ;                    2
      44530991873576 ;                    2
      44530992281429 ;                    1
      44530992782658 ;                    2
      44530992865208 ;                    1
      44530992911914 ;                    1
      44530994242621 ;                    1
      44530994459293 ;                    1
      44530995112724 ;                    2
      44530995223685 ;                    1
      44530995258549 ;                    2
      44530995685717 ;                    1
      44530996235634 ;                    1
      44530996613359 ;                    1
      44530996659599 ;                    1
      44530997702087 ;                    1
      44530999064978 ;                    2
      44530999382392 ;                    1
      44530999583577 ;                    1
      44531001338310 ;                    2
      44531003170449 ;                    1
      44531003608428 ;                    2
      44531004052317 ;                    2
      44531005240613 ;                    1
      44531006476418 ;                    1
      44531007333954 ;                    2
      44531007999269 ;                    1
      44531009627651 ;                    2
      44531010624370 ;                    1
      44531011318774 ;                    2
      44531012375042 ;                    1
      44531012397304 ;                    1
      44531013389176 ;                    2
      44531013678667 ;                    1
      44531013769303 ;                    1
      44531014033555 ;                    2
      44531014686429 ;                    1
      44531016185917 ;                    2
      44531016214138 ;                    1
      44531017368385 ;                    1
      44531017453016 ;                    1
      44531017749920 ;                    1
      44531018780172 ;                    1
      44531019574627 ;                    2
      44531021229243 ;                    1
      44531021402596 ;                    2
      44531021406032 ;                    1
      44531021746098 ;                    1
      44531022020600 ;                    2
      44531023476517 ;                    2
      44531023708680 ;                    1
      44531024986137 ;                    2
      44531025133874 ;                    1
      44531025147174 ;                    1
      44531025725170 ;                    1
      44549548388061 ;                    2
      44549548992120 ;                    2
      44549549723618 ;                    1
      44549549831404 ;                    1
      44549550188933 ;                    2
      44549553532086 ;                    2
      44549553798801 ;                    1
      44549554302797 ;                    1
      44549554343248 ;                    1
      44549555279992 ;                    1
      44549556080929 ;                    2
      44549557119324 ;                    2
      44549557257044 ;                    1
      44549557323948 ;                    2
      44549558728214 ;                    2
      44549559056419 ;                    2
      44549559765475 ;                    1
      44549560367413 ;                    1
      44549560904739 ;                    1
      44549561080201 ;                    2
      44549561803118 ;                    2
      44549561803705 ;                    2
      44549561806732 ;                    2
      44549564717866 ;                    2
      44549564967464 ;                    2
      44549565100406 ;                    2
      44549565583740 ;                    2
      44549566385563 ;                    2
      44549567099923 ;                    2
      44549567113076 ;                    1
      44549567129201 ;                    2
      44549567135487 ;                    1
      44549567224168 ;                    1
      44549567540832 ;                    2
      44549568151151 ;                    2
      44549568200899 ;                    1
      44549568434621 ;                    1
      44549570254632 ;                    2
      44549570646573 ;                    2
      44549570895561 ;                    1
      44549571211192 ;                    1
      44549575449367 ;                    2
      44549575482744 ;                    1
      44549576171006 ;                    1
      44549577309681 ;                    2
      44549578163818 ;                    1
      44549579701501 ;                    2
      44549580630190 ;                    1
      44549581663647 ;                    2
      44549581866272 ;                    1
      44549582337639 ;                    2
      44549583219357 ;                    2
      44549583221637 ;                    2
      44549585612634 ;                    2
      44549585912447 ;                    1
      44549585912901 ;                    1
      44549586303485 ;                    1
      44549588509391 ;                    2
      44549589973629 ;                    2
      44549592227856 ;                    2
      44549592913655 ;                    2
      44549594138822 ;                    2
      44549596597191 ;                    2
      44549597291223 ;                    2
      44549597514263 ;                    2
      44549598030105 ;                    2
      44549598760659 ;                    1
      44549599267373 ;                    1
      44549599736615 ;                    1
      44549600219411 ;                    1
      44549600332972 ;                    1
      44549600578572 ;                    2
      44549600799386 ;                    1
      44549601918507 ;                    1
      44549602130930 ;                    2
      44549603074382 ;                    2
      44549603896407 ;                    1
      44549603981233 ;                    2
      44549604418753 ;                    2
      44549604646543 ;                    1
      44549604932301 ;                    1
      44549605190829 ;                    2
      44549605501477 ;                    2
      44549605501879 ;                    2
      44549605694704 ;                    1
      44549606103929 ;                    2
      44549606295540 ;                    2
      44549607227860 ;                    2
      44549607659754 ;                    1
      44549608973077 ;                    1
      44549609508803 ;                    1
      44549609883683 ;                    1
      44549610425851 ;                    1
      44549610751808 ;                    2
      44549610751814 ;                    1
      44549611529240 ;                    2
      44549614257799 ;                    2
      44549614470664 ;                    1
      44549614819220 ;                    1
      44549616422511 ;                    1
      44549617735531 ;                    2
      44549618581703 ;                    2
      44549618990889 ;                    2
      44549619274744 ;                    2
