# Time Tags
# 2025-05-20 18:01:19
# Unit Time Tag: 80.955ps
# Unit Channel: 1
# Time Tag ; Channel
      45318654557830 ;                    2
      45318654569970 ;                    1
      45318654793649 ;                    1
      45318655152340 ;                    2
      45318655152780 ;                    2
      45318655503647 ;                    2
      45318657067847 ;                    1
      45318657794112 ;                    2
      45318659157018 ;                    1
      45318660764051 ;                    1
      45318660812694 ;                    1
      45318663136124 ;                    2
      45318665781306 ;                    2
      45318666808643 ;                    2
      45318668234834 ;                    1
      45318669631965 ;                    2
      45318670213958 ;                    1
      45318671919335 ;                    1
      45318675691560 ;                    2
      45318675741579 ;                    2
      45318676826069 ;                    2
      45318677289803 ;                    2
      45318678050629 ;                    2
      45318678087261 ;                    2
      45318679415907 ;                    2
      45318679591574 ;                    2
      45318679779476 ;                    2
      45318680462326 ;                    1
      45318680891037 ;                    2
      45318681586148 ;                    2
      45318682292992 ;                    2
      45318682352959 ;                    2
      45318682621868 ;                    1
      45318682781798 ;                    2
      45318683752089 ;                    2
      45318684489716 ;                    2
      45318685565114 ;                    1
      45318686036917 ;                    1
      45318687347679 ;                    2
      45318687489284 ;                    2
      45318687932694 ;                    2
      45318688762915 ;                    2
      45318688796309 ;                    2
      45318689176081 ;                    2
      45318689259739 ;                    1
      45318690044473 ;                    1
      45318690484307 ;                    1
      45318691139448 ;                    2
      45318691674603 ;                    2
      45318691876198 ;                    2
      45318692562989 ;                    1
      45318694563520 ;                    1
      45318695121983 ;                    2
      45318695998059 ;                    2
      45318696777416 ;                    2
      45318697565760 ;                    2
      45318698235599 ;                    1
      45318698884044 ;                    2
      45318699291530 ;                    2
      45318699402429 ;                    1
      45318699414113 ;                    2
      45318701289445 ;                    2
      45318701366138 ;                    2
      45318701659036 ;                    2
      45318702023049 ;                    1
      45318703874903 ;                    1
      45318704121091 ;                    2
      45318704464170 ;                    1
      45318704665792 ;                    1
      45318706030467 ;                    1
      45318706483147 ;                    1
      45318708285809 ;                    1
      45318708326999 ;                    2
      45318708566445 ;                    1
      45318711225024 ;                    2
      45318711572646 ;                    1
      45318712531208 ;                    2
      45318712919100 ;                    1
      45318713146101 ;                    1
      45318713236390 ;                    1
      45318713360561 ;                    1
      45318714822482 ;                    2
      45318715113441 ;                    2
      45318715132908 ;                    2
      45318715132915 ;                    1
      45318716338856 ;                    1
      45318717584665 ;                    2
      45318717641633 ;                    1
      45318717788638 ;                    2
      45318718430434 ;                    1
      45318720892255 ;                    2
      45318721185124 ;                    2
      45318721629031 ;                    1
      45318721947224 ;                    2
      45318722184238 ;                    2
      45318724393355 ;                    2
      45318725557884 ;                    1
      45318725851281 ;                    2
      45318726514505 ;                    1
      45318727973857 ;                    1
      45318728368440 ;                    1
      45318728548331 ;                    2
      45318728548344 ;                    1
      45318728905119 ;                    2
      45318729262213 ;                    2
      45318729706260 ;                    2
      45318729714693 ;                    2
      45318730459144 ;                    2
      45318731313662 ;                    2
      45318733095311 ;                    2
      45318733919691 ;                    1
      45318734377526 ;                    2
      45318735679253 ;                    2
      45318737067586 ;                    1
      45318737153884 ;                    1
      45318737752053 ;                    2
      45318739459241 ;                    2
      45318743157586 ;                    2
      45318743764309 ;                    1
      45318744173664 ;                    2
