# Time Tags
# 2025-05-20 17:43:42
# Unit Time Tag: 80.955ps
# Unit Channel: 1
# Time Tag ; Channel
      32292545247829 ;                    2
      32292545640348 ;                    1
      32292546278588 ;                    1
      32292546400090 ;                    2
      32292548767168 ;                    2
      32292548794179 ;                    2
      32292550545963 ;                    1
      32292551095090 ;                    1
      32292552120956 ;                    2
      32292553470576 ;                    1
      32292554697515 ;                    1
      32292555448691 ;                    2
      32292557705896 ;                    1
      32292558420142 ;                    1
      32292558831197 ;                    2
      32292558889787 ;                    2
      32292559526738 ;                    1
      32292559982053 ;                    2
      32292560134336 ;                    1
      32292560143115 ;                    1
      32292560346752 ;                    1
      32292560969997 ;                    2
      32292561766114 ;                    1
      32292562512642 ;                    2
      32292563041458 ;                    2
      32292563142801 ;                    2
      32292563142805 ;                    1
      32292563721083 ;                    2
      32292563722540 ;                    1
      32292563976348 ;                    2
      32292564171917 ;                    2
      32292564559485 ;                    2
      32292564695263 ;                    2
      32292565059105 ;                    2
      32292565105862 ;                    1
      32292565141225 ;                    2
      32292565914551 ;                    2
      32292566169996 ;                    1
      32292566310410 ;                    2
      32292566569684 ;                    1
      32292569274181 ;                    2
      32292571610137 ;                    2
      32292572136559 ;                    2
      32292572675668 ;                    1
      32292574025484 ;                    2
      32292576335931 ;                    1
      32292576810620 ;                    2
      32292576810623 ;                    1
      32292578182905 ;                    1
      32292578800488 ;                    1
      32292579919844 ;                    2
      32292580249088 ;                    2
      32292580869829 ;                    2
      32292581624030 ;                    2
      32292582023588 ;                    2
      32292582115766 ;                    2
      32292582244281 ;                    2
      32292582443063 ;                    1
      32292582521118 ;                    1
      32292583070102 ;                    2
      32292583933171 ;                    2
      32292585180863 ;                    2
      32292585796793 ;                    2
      32292586460728 ;                    2
      32292587570744 ;                    2
      32292590072660 ;                    2
      32292590072670 ;                    1
      32292590320890 ;                    1
      32292590746627 ;                    2
      32292594894607 ;                    1
      32292595076837 ;                    2
      32292597517271 ;                    1
      32292597951075 ;                    1
      32292598191834 ;                    1
      32292600434142 ;                    1
      32292601240324 ;                    2
      32292603063249 ;                    1
      32292603307790 ;                    1
      32292604030799 ;                    1
      32292604270294 ;                    1
      32292604509041 ;                    2
      32292604509425 ;                    2
      32292605018587 ;                    2
      32292605212410 ;                    2
      32292605487339 ;                    1
      32292606969916 ;                    2
      32292608102992 ;                    2
      32292610479718 ;                    2
