# Time Tags
# 2025-05-20 17:56:59
# Unit Time Tag: 80.955ps
# Unit Channel: 1
# Time Tag ; Channel
      42087673867212 ;                    1
      42087674034778 ;                    2
      42087674074404 ;                    2
      42087675503615 ;                    2
      42087675968813 ;                    2
      42087676007313 ;                    1
      42087677591746 ;                    2
      42087679974314 ;                    2
      42087680069210 ;                    2
      42087680540349 ;                    2
      42087680728305 ;                    1
      42087681113236 ;                    1
      42087681359271 ;                    1
      42087681879516 ;                    1
      42087682333995 ;                    2
      42087682851963 ;                    1
      42087683275310 ;                    1
      42087683444161 ;                    1
      42087684297617 ;                    2
      42087684621499 ;                    2
      42087684757129 ;                    2
      42087684944421 ;                    2
      42087686385804 ;                    2
      42087690081622 ;                    2
      42087691138511 ;                    1
      42087691381299 ;                    2
      42087691444331 ;                    2
      42087691712449 ;                    1
      42087694123898 ;                    1
      42087695467555 ;                    2
      42087695467563 ;                    1
      42087696792277 ;                    2
      42087697192934 ;                    2
      42087697449440 ;                    2
      42087697643879 ;                    2
      42087697711243 ;                    2
      42087697873647 ;                    2
      42087699169151 ;                    1
      42087699212857 ;                    2
      42087700300059 ;                    2
      42087700944183 ;                    1
      42087701359972 ;                    1
      42087702780156 ;                    1
      42087704819496 ;                    2
      42087704888388 ;                    1
      42087705587127 ;                    2
      42087705636959 ;                    1
      42087705657642 ;                    1
      42087706237145 ;                    2
      42087707396936 ;                    2
      42087708715837 ;                    1
      42087711058721 ;                    1
      42087711790325 ;                    2
      42087711790333 ;                    1
      42087711932619 ;                    2
      42087712396347 ;                    1
      42087714557246 ;                    1
      42087714856508 ;                    2
      42087717267984 ;                    2
      42087717887373 ;                    2
      42087717906310 ;                    2
      42087719195071 ;                    2
      42087719492042 ;                    2
      42087719879134 ;                    1
      42087720472165 ;                    1
      42087720552056 ;                    2
      42087720700705 ;                    2
      42087721198883 ;                    2
      42087721955143 ;                    2
      42087721955155 ;                    1
      42087722095019 ;                    2
      42087722102090 ;                    2
      42087722102094 ;                    1
      42087722800288 ;                    2
      42087723569806 ;                    2
      42087723907852 ;                    2
      42087724309838 ;                    1
      42087724669010 ;                    1
