# Time Tags
# 2025-05-20 17:57:58
# Unit Time Tag: 80.955ps
# Unit Channel: 1
# Time Tag ; Channel
      42823394499664 ;                    1
      42823394577647 ;                    2
      42823394989128 ;                    2
      42823398798524 ;                    1
      42823399653728 ;                    2
      42823399794513 ;                    2
      42823401199233 ;                    2
      42823401967615 ;                    1
      42823402001288 ;                    1
      42823403644964 ;                    1
      42823404205854 ;                    2
      42823404915482 ;                    2
      42823405250461 ;                    2
      42823406737308 ;                    2
      42823407828250 ;                    2
      42823407830688 ;                    2
      42823408080498 ;                    2
      42823409111222 ;                    2
      42823410301153 ;                    2
      42823410833739 ;                    1
      42823411190663 ;                    2
      42823411222191 ;                    1
      42823412376735 ;                    1
      42823412635490 ;                    2
      42823414268186 ;                    2
      42823416872079 ;                    2
      42823417708758 ;                    2
      42823417858313 ;                    1
      42823418331803 ;                    2
      42823419448416 ;                    2
      42823419812911 ;                    1
      42823421463931 ;                    2
      42823424191932 ;                    2
      42823424192304 ;                    2
      42823424459612 ;                    1
      42823425870075 ;                    2
      42823426958497 ;                    2
      42823427781954 ;                    1
      42823428420032 ;                    2
      42823429651236 ;                    2
      42823430220241 ;                    1
      42823432409317 ;                    2
      42823432589552 ;                    2
      42823433649123 ;                    2
      42823434558594 ;                    1
      42823434958067 ;                    1
      42823435302555 ;                    2
      42823435818642 ;                    2
      42823436191257 ;                    1
      42823436976859 ;                    2
      42823437330490 ;                    1
      42823437654381 ;                    2
      42823438244995 ;                    2
      42823439120946 ;                    2
      42823439430943 ;                    2
      42823439693118 ;                    2
      42823440801616 ;                    2
      42823441557592 ;                    1
      42823441789284 ;                    2
      42823443146178 ;                    1
      42823444788330 ;                    2
      42823444891164 ;                    2
      42823445663495 ;                    2
      42823448457299 ;                    2
      42823449397894 ;                    1
      42823449829018 ;                    2
      42823450208321 ;                    1
      42823450303263 ;                    2
      42823450617972 ;                    2
      42823453283759 ;                    2
      42823454678664 ;                    2
      42823455860730 ;                    2
      42823456442151 ;                    1
      42823456787227 ;                    1
      42823458728858 ;                    2
      42823459497109 ;                    1
      42823460123798 ;                    2
      42823460188760 ;                    1
      42823461393868 ;                    2
      42823462463709 ;                    1
      42823462604459 ;                    1
      42823463214945 ;                    2
      42823463807071 ;                    2
      42823465302081 ;                    2
      42823467071309 ;                    1
      42823467112205 ;                    2
      42823469269687 ;                    2
      42823469646731 ;                    2
      42823469692604 ;                    1
      42823469847048 ;                    1
      42823471489386 ;                    2
      42823471657837 ;                    1
      42823472015710 ;                    2
      42823473307500 ;                    2
      42823475032062 ;                    2
      42823475904108 ;                    2
      42823476478884 ;                    1
      42823476924058 ;                    1
      42823477093124 ;                    2
      42823477536407 ;                    1
      42823480445412 ;                    2
      42823480482408 ;                    2
      42823482293159 ;                    1
      42823483185295 ;                    2
      42823484014329 ;                    2
      42823484239299 ;                    2
      42823485997709 ;                    1
      42823487079492 ;                    2
      42823491450326 ;                    2
      42823492736653 ;                    2
      42823492901341 ;                    2
      42823493934337 ;                    2
      42823495198921 ;                    2
      42823495365703 ;                    2
      42823495954168 ;                    2
      42823495954919 ;                    2
      42823496372268 ;                    2
      42823496790726 ;                    1
      42823497148547 ;                    2
      42823497247147 ;                    1
      42823497824938 ;                    1
      42823500091574 ;                    2
      42823500190380 ;                    1
      42823500315502 ;                    2
      42823501394674 ;                    2
      42823502459273 ;                    2
      42823502926249 ;                    2
      42823503082406 ;                    2
      42823503617826 ;                    2
      42823504229081 ;                    2
      42823506200603 ;                    1
      42823506205079 ;                    1
      42823507212909 ;                    1
      42823507956937 ;                    2
      42873706814077 ;                    2
      42873707805553 ;                    2
      42873710118896 ;                    2
      42873710222174 ;                    2
      42873710296867 ;                    1
      42873711084295 ;                    2
      42873712585621 ;                    1
      42873713221292 ;                    1
      42873714918402 ;                    2
      42873715572092 ;                    2
      42873715587634 ;                    2
      42873715852640 ;                    2
      42873715853570 ;                    2
      42873716092107 ;                    2
      42873716254583 ;                    2
      42873716308444 ;                    2
      42873716398535 ;                    1
      42873716682770 ;                    2
      42873718754716 ;                    2
      42873718770149 ;                    1
      42873719771394 ;                    2
      42873720989657 ;                    2
      42873721168613 ;                    2
      42873721677278 ;                    2
      42873721873510 ;                    1
      42873722343083 ;                    2
      42873722772844 ;                    2
      42873723164768 ;                    2
      42873723254455 ;                    2
      42873724680295 ;                    1
      42873725379337 ;                    1
      42873725908937 ;                    1
      42873726506867 ;                    1
      42873727035254 ;                    2
      42873727264736 ;                    2
      42873727265836 ;                    2
      42873727800019 ;                    2
      42873727976721 ;                    2
      42873728350595 ;                    2
      42873731452136 ;                    2
      42873732174652 ;                    1
      42873732260962 ;                    2
      42873733944849 ;                    2
      42873734155833 ;                    2
      42873735655538 ;                    1
      42873736467957 ;                    1
      42873737747604 ;                    2
      42873738158363 ;                    1
      42873738166416 ;                    2
      42873738838871 ;                    2
      42873739265707 ;                    1
      42873740202093 ;                    2
      42873741682918 ;                    1
      42873743538075 ;                    1
      42873743648440 ;                    2
      42873743978202 ;                    1
      42873744659303 ;                    2
      42873746072600 ;                    2
      42873746073764 ;                    2
      42873746765317 ;                    2
      42873746765849 ;                    2
      42873746766849 ;                    2
      42873746867498 ;                    2
      42873747232956 ;                    1
      42873747452544 ;                    2
      42873748447708 ;                    2
      42873749455092 ;                    2
      42873749556550 ;                    1
      42873749661468 ;                    2
      42873750830413 ;                    1
      42873751324762 ;                    2
      42873754958082 ;                    1
      42873755117032 ;                    2
      42873755538640 ;                    2
      42873755659483 ;                    1
      42873755784967 ;                    1
      42873756620879 ;                    2
      42873758413842 ;                    1
      42873759447935 ;                    1
      42873759633477 ;                    1
      42873761855411 ;                    1
      42873763144142 ;                    2
      42873763313081 ;                    2
      42873763325876 ;                    1
      42873763327568 ;                    1
      42873764449802 ;                    1
      42873764672106 ;                    1
      42873764983465 ;                    1
      42873765349122 ;                    2
      42873766216292 ;                    2
      42873766568948 ;                    1
      42873766760644 ;                    2
      42873769232637 ;                    2
      42873771869870 ;                    1
      42873772816080 ;                    1
      42873773081575 ;                    2
      42873773766328 ;                    2
      42873775243832 ;                    2
      42873776589157 ;                    1
      42873777874623 ;                    1
      42873778007278 ;                    2
      42873778340053 ;                    1
      42873781874459 ;                    1
      42873782201071 ;                    1
      42873782790825 ;                    1
      42873783015210 ;                    2
      42873783724260 ;                    1
      42873783946879 ;                    2
      42873783991561 ;                    1
      42873784572070 ;                    2
      42873785106129 ;                    1
      42873785321506 ;                    1
      42873787518071 ;                    2
      42873787898186 ;                    2
      42873788942727 ;                    2
      42873791296884 ;                    1
      42873792111329 ;                    1
      42873792720131 ;                    2
      42873793554098 ;                    2
      42873794750145 ;                    1
      42873796673166 ;                    2
      42873796992611 ;                    2
      42873797486464 ;                    2
      42873798539084 ;                    1
      42873801481165 ;                    1
      42873803057457 ;                    2
      42873804568137 ;                    2
      42873805715266 ;                    2
      42873806470161 ;                    2
      42873806470557 ;                    2
      42873806997178 ;                    2
      42873807019073 ;                    2
      42873807131901 ;                    1
      42873808068327 ;                    2
      42873808297488 ;                    2
      42873808664806 ;                    2
      42873808664818 ;                    1
      42873809714849 ;                    2
      42873810559057 ;                    1
      42873810662920 ;                    1
      42873811772968 ;                    2
      42873812069364 ;                    1
      42873814561182 ;                    2
      42873815328711 ;                    1
      42873815740194 ;                    2
      42873815857439 ;                    1
