# Time Tags
# 2025-05-20 17:59:32
# Unit Time Tag: 80.955ps
# Unit Channel: 1
# Time Tag ; Channel
      44018645195915 ;                    1
      44018645801969 ;                    2
      44018646719567 ;                    1
      44018647266978 ;                    2
      44018647554662 ;                    2
      44018648589896 ;                    1
      44018648650380 ;                    1
      44018649088827 ;                    1
      44018649134701 ;                    2
      44018649134710 ;                    1
      44018649655651 ;                    1
      44018652034993 ;                    1
      44018652396688 ;                    2
      44018653526376 ;                    2
      44018654905838 ;                    1
      44018655447750 ;                    1
      44018655454122 ;                    2
      44018656116202 ;                    1
      44018656751812 ;                    1
      44018657014393 ;                    1
      44018657014394 ;                    2
      44018658129610 ;                    2
      44018659056779 ;                    1
      44018659110336 ;                    2
      44018659468016 ;                    1
      44018660352585 ;                    1
      44018662274476 ;                    2
      44018663316290 ;                    2
      44018663382658 ;                    1
      44018664595397 ;                    2
      44018664824854 ;                    2
      44018666993166 ;                    2
      44018667094241 ;                    1
      44018667640262 ;                    2
      44018667735415 ;                    1
      44018668087830 ;                    2
      44018669285688 ;                    2
      44018673072092 ;                    2
      44018673482515 ;                    1
      44018673547740 ;                    2
      44018673794805 ;                    2
      44018673812035 ;                    1
      44018673814353 ;                    2
      44018674463554 ;                    2
      44018675877663 ;                    2
      44018676297053 ;                    1
      44018676316767 ;                    1
      44018676644691 ;                    2
      44018678336032 ;                    2
      44018679638799 ;                    1
      44018679821850 ;                    1
      44018679936713 ;                    2
      44018681515747 ;                    2
      44018685112956 ;                    2
      44018686182970 ;                    2
      44018687265235 ;                    1
      44018687697433 ;                    1
      44018689252611 ;                    1
      44018690482324 ;                    2
      44018690482899 ;                    2
      44018690524037 ;                    1
      44018693151885 ;                    1
      44018694301502 ;                    2
      44018694701397 ;                    2
      44018694735350 ;                    2
      44018694735365 ;                    1
      44018694842657 ;                    2
      44018695010418 ;                    2
      44018697032184 ;                    1
      44018697434315 ;                    2
      44018697782824 ;                    2
      44018698148610 ;                    2
      44018698551286 ;                    2
      44018698637677 ;                    1
      44018698866077 ;                    2
      44018698866795 ;                    2
      44018699818416 ;                    2
      44018700357897 ;                    1
      44018700851092 ;                    2
      44018702577004 ;                    1
      44018703708619 ;                    1
      44018706213809 ;                    2
      44018706753699 ;                    2
      44018708285530 ;                    2
      44018708379593 ;                    2
      44018709294692 ;                    2
      44018709973794 ;                    1
      44018710217088 ;                    1
      44018710421525 ;                    2
      44018713674509 ;                    1
      44018714746044 ;                    2
      44018714750455 ;                    1
      44018715969937 ;                    1
      44018717028488 ;                    2
      44018717185764 ;                    1
      44018721187354 ;                    2
      44018721694527 ;                    2
      44018723147105 ;                    1
      44018723168935 ;                    2
      44018723293907 ;                    2
      44018724103836 ;                    2
      44018724193338 ;                    1
      44018724836672 ;                    1
      44018725027672 ;                    1
      44018725364473 ;                    2
      44018725364481 ;                    1
      44018725704928 ;                    2
      44018726161135 ;                    2
      44018726294217 ;                    2
      44018726591301 ;                    1
      44018726670586 ;                    1
      44018727384397 ;                    2
      44018728045536 ;                    2
      44018728461245 ;                    1
      44018729112417 ;                    2
      44018729286631 ;                    2
      44018730081249 ;                    1
      44018731067898 ;                    2
      44018731420278 ;                    2
      44018731608411 ;                    1
      44018731766562 ;                    2
      44018732182301 ;                    2
      44018733745441 ;                    2
      44018733745447 ;                    1
      44018733784368 ;                    1
      44018734274845 ;                    2
      44018735087294 ;                    2
      44018735603225 ;                    2
      44018735637413 ;                    2
      44018736252808 ;                    1
      44018736288780 ;                    2
      44018736564547 ;                    2
      44018738003857 ;                    2
      44018738207119 ;                    1
      44018738667222 ;                    1
      44018738749495 ;                    2
      44018739402162 ;                    1
      44018740179474 ;                    2
      44018741480970 ;                    2
      44018741492699 ;                    1
      44018741696059 ;                    1
      44018742935556 ;                    2
      44018743109872 ;                    2
      44018743405034 ;                    2
      44018745464724 ;                    1
      44018745609339 ;                    2
      44018747396196 ;                    2
      44018747829975 ;                    2
      44018748073251 ;                    2
      44018748445740 ;                    2
      44018749981971 ;                    2
      44018750815347 ;                    2
      44018750961528 ;                    1
