# Time Tags
# 2025-05-20 18:02:18
# Unit Time Tag: 80.955ps
# Unit Channel: 1
# Time Tag ; Channel
      46037038430672 ;                    2
      46037039656596 ;                    1
      46037043233941 ;                    1
      46037043391914 ;                    1
      46037043399980 ;                    1
      46037043796812 ;                    2
      46037045133648 ;                    1
      46037046739287 ;                    1
      46037047695577 ;                    2
      46037048007070 ;                    1
      46037049988837 ;                    1
      46037050492680 ;                    2
      46037050981547 ;                    1
      46037051495750 ;                    1
      46037051567319 ;                    2
      46037051570351 ;                    1
      46037054906072 ;                    2
      46037055241862 ;                    1
      46037055520341 ;                    1
      46037056153777 ;                    2
      46037057314426 ;                    2
      46037057331666 ;                    1
      46037057806953 ;                    1
      46037058489979 ;                    1
      46037058537561 ;                    1
      46037059769497 ;                    2
      46037060141345 ;                    2
      46037060141357 ;                    1
      46037061980631 ;                    1
      46037062219503 ;                    2
      46037062771957 ;                    2
      46037063991152 ;                    2
      46037064020497 ;                    1
      46037064650531 ;                    2
      46037064735517 ;                    2
      46037064959321 ;                    2
      46037066720487 ;                    2
      46037067016301 ;                    2
      46037067713784 ;                    1
      46037067808254 ;                    2
      46037067811512 ;                    1
      46037067990896 ;                    1
      46037068122056 ;                    1
      46037069064891 ;                    2
      46037069239821 ;                    1
      46037069811942 ;                    1
      46037070329830 ;                    2
      46037070841524 ;                    1
      46037071421950 ;                    1
      46037071484989 ;                    2
      46037072164187 ;                    1
      46037072824872 ;                    1
      46037074322910 ;                    2
      46037074789900 ;                    1
      46037075477615 ;                    2
      46037076005881 ;                    1
      46037077097871 ;                    2
      46037078051899 ;                    2
      46037079219794 ;                    2
      46037079942565 ;                    1
      46037081227707 ;                    2
      46037081298815 ;                    1
      46037082377526 ;                    2
      46037082381289 ;                    2
      46037082893517 ;                    1
      46037082894663 ;                    2
      46037083036576 ;                    1
      46037084489791 ;                    1
      46037085041739 ;                    2
      46037085419923 ;                    1
      46037086816143 ;                    1
      46037087712532 ;                    1
      46037087876481 ;                    1
      46037088021736 ;                    2
      46037088144645 ;                    2
      46037088726859 ;                    2
      46037089597808 ;                    1
      46037089624861 ;                    2
      46037089625722 ;                    2
      46037092290025 ;                    1
      46037092864498 ;                    2
      46037093001812 ;                    1
      46037093712637 ;                    2
      46037094154689 ;                    2
      46037094190561 ;                    2
      46037095063893 ;                    2
      46037095407764 ;                    2
      46037095621189 ;                    2
      46037095932519 ;                    2
      46037096118128 ;                    2
      46037096281087 ;                    1
      46037098211081 ;                    2
      46037100295732 ;                    1
      46037100388394 ;                    1
      46037101466566 ;                    2
      46037103067189 ;                    1
      46037103677632 ;                    1
      46037103692057 ;                    1
      46037103839938 ;                    2
      46037104425881 ;                    2
      46037105190681 ;                    2
      46037106208877 ;                    2
      46037107033994 ;                    1
      46037107142840 ;                    2
      46037107811423 ;                    1
      46037108858656 ;                    1
      46037110406395 ;                    1
      46037110769061 ;                    1
      46037111256015 ;                    2
      46037111341677 ;                    2
      46037111522084 ;                    1
      46037112465882 ;                    1
      46037112576584 ;                    2
      46037112616603 ;                    2
      46037113233985 ;                    1
      46037114948916 ;                    2
      46037115342846 ;                    2
      46037116519441 ;                    1
      46037116556339 ;                    1
      46037118634567 ;                    2
      46037119805344 ;                    1
