62475989387165;4
62475989425627;1
62475989703992;4
62475989717692;1
62475989923388;4
62475989993698;1
62475990325499;4
62475989993698;1
62475990552607;1
62475990382912;4
62475991170300;4
62475991151872;1
62475991371862;1
62475991264860;4
62475991996877;4
62475992113114;1
62475992246319;4
62475992239856;1
62475993270816;4
62475993236613;1
62475993648161;1
62475993592282;4
62475993752446;4
62475993757412;1
62475995619239;4
62475995699674;1
62475996482645;4
62475996477486;1
62476000920796;4
62476000932310;1
62476002242874;4
62476002263570;1
62476003224123;4
62476003260736;1
62476004029744;4
62476004013905;1
62476004973180;4
62476004992397;1
62476006047518;4
62476006023450;1
62476006468027;4
62476006245192;1
62476006518840;1
62476006471401;4
62476011997586;4
62476012023800;1
62476013283229;4
62476013283232;1
62476013755266;4
62476013782972;1
62476017650978;4
62476017643634;1
62476020892082;4
62476021023656;1
62476022176390;4
62476022177409;1
62476022234629;4
62476022177409;1
62476023214313;4
62476023137520;1
62476023623711;1
62476023666010;4
62476023702774;1
62476023666010;4
62476025551977;4
62476025551979;1
62476026148193;4
62476026132867;1
62476027727142;4
62476027742899;1
62476028712561;4
62476028717175;1
62476031021855;4
62476030964466;1
62476031793968;4
62476031806348;1
62476032415461;4
62476032462158;1
62476032911948;4
62476032756263;1
62476033284714;4
62476033281586;1
62476035458312;4
62476035433714;1
62476037808650;4
62476037861051;1
62476040544849;4
62476040471671;1
62476041489630;4
62476041477774;1
62476041625911;4
62476041566988;1
62476042171942;4
62476042172233;1
62476042485329;4
62476042368323;1
62476043047369;4
62476042966702;1
62476043651368;4
62476043695270;1
62476044373269;4
62476044315618;1
62476044509169;1
62476044552078;4
62476044567227;1
62476044552078;4
62476046082160;4
62476046151054;1
62476047806036;4
62476047855076;1
62476048196666;4
62476048227017;1
62476048666713;4
62476048568526;1
62476051262752;4
62476051194987;1
62476051270588;1
62476051270486;4
62476051721454;4
62476051670483;1
62476052185674;4
62476052117599;1
62476053007228;4
62476053043564;1
62476053686132;4
62476053653702;1
62476053966184;1
62476053847265;4
62476054299581;4
62476054315360;1
62476056031250;4
62476056027116;1
62476057052773;4
62476056806386;1
62476057178573;1
62476057174231;4
62476058604467;4
62476058644393;1
62476058976326;4
62476058936110;1
62476060005938;4
